Epoch   0 | Total: 1.60e+02 | Phys: 5.61e-10 | Data: 9.37e-01 | IC: 3.02e+00 | Phys/Data: 5.99e-10
Epoch  10 | Total: 8.95e+00 | Phys: 1.00e-04 | Data: 7.29e-01 | IC: 1.24e-01 | Phys/Data: 1.38e-04
Epoch  20 | Total: 8.43e+00 | Phys: 1.60e-05 | Data: 6.79e-01 | IC: 1.40e-01 | Phys/Data: 2.36e-05
Epoch  30 | Total: 5.36e+00 | Phys: 3.02e-05 | Data: 6.53e-01 | IC: 8.77e-02 | Phys/Data: 4.62e-05
Epoch  40 | Total: 3.06e+00 | Phys: 3.38e-05 | Data: 5.67e-01 | IC: 5.03e-02 | Phys/Data: 5.96e-05
Epoch  50 | Total: 2.76e+00 | Phys: 2.34e-05 | Data: 5.29e-01 | IC: 4.49e-02 | Phys/Data: 4.41e-05
Epoch  60 | Total: 3.35e+00 | Phys: 3.45e-05 | Data: 5.67e-01 | IC: 5.50e-02 | Phys/Data: 6.08e-05
Epoch  70 | Total: 2.18e+00 | Phys: 1.90e-05 | Data: 5.37e-01 | IC: 3.62e-02 | Phys/Data: 3.55e-05
Epoch  80 | Total: 1.96e+00 | Phys: 2.13e-05 | Data: 5.67e-01 | IC: 3.15e-02 | Phys/Data: 3.76e-05
Epoch  90 | Total: 1.79e+00 | Phys: 1.71e-05 | Data: 5.08e-01 | IC: 2.96e-02 | Phys/Data: 3.37e-05
Epoch 100 | Total: 1.74e+00 | Phys: 1.36e-05 | Data: 4.79e-01 | IC: 2.86e-02 | Phys/Data: 2.83e-05
Epoch 110 | Total: 1.46e+00 | Phys: 1.53e-05 | Data: 4.99e-01 | IC: 2.41e-02 | Phys/Data: 3.07e-05
Epoch 120 | Total: 1.10e+00 | Phys: 1.37e-05 | Data: 4.71e-01 | IC: 1.70e-02 | Phys/Data: 2.90e-05
Epoch 130 | Total: 1.48e+00 | Phys: 1.21e-05 | Data: 4.82e-01 | IC: 2.42e-02 | Phys/Data: 2.52e-05
Epoch 140 | Total: 1.25e+00 | Phys: 1.58e-05 | Data: 4.96e-01 | IC: 2.02e-02 | Phys/Data: 3.19e-05
Epoch 150 | Total: 1.32e+00 | Phys: 1.51e-05 | Data: 4.72e-01 | IC: 2.03e-02 | Phys/Data: 3.20e-05
Epoch 160 | Total: 1.16e+00 | Phys: 1.21e-05 | Data: 4.57e-01 | IC: 1.72e-02 | Phys/Data: 2.65e-05
Epoch 170 | Total: 1.21e+00 | Phys: 1.66e-05 | Data: 4.22e-01 | IC: 1.74e-02 | Phys/Data: 3.92e-05
Epoch 180 | Total: 1.80e+00 | Phys: 1.54e-05 | Data: 4.21e-01 | IC: 2.46e-02 | Phys/Data: 3.67e-05
Epoch 190 | Total: 1.16e+00 | Phys: 1.05e-05 | Data: 4.10e-01 | IC: 1.79e-02 | Phys/Data: 2.56e-05
Epoch 200 | Total: 1.12e+00 | Phys: 1.04e-05 | Data: 4.10e-01 | IC: 1.80e-02 | Phys/Data: 2.53e-05
Epoch 210 | Total: 1.19e+00 | Phys: 1.61e-05 | Data: 4.35e-01 | IC: 1.96e-02 | Phys/Data: 3.71e-05
Epoch 220 | Total: 9.19e-01 | Phys: 9.75e-06 | Data: 4.16e-01 | IC: 1.40e-02 | Phys/Data: 2.34e-05
Epoch 230 | Total: 1.19e+00 | Phys: 1.34e-05 | Data: 3.87e-01 | IC: 1.87e-02 | Phys/Data: 3.46e-05
Epoch 240 | Total: 1.06e+00 | Phys: 1.12e-05 | Data: 3.70e-01 | IC: 1.60e-02 | Phys/Data: 3.03e-05
Epoch 250 | Total: 1.47e+00 | Phys: 1.52e-05 | Data: 4.12e-01 | IC: 2.32e-02 | Phys/Data: 3.70e-05
